Related JROST Organization,Role (required),Title,Given Name (required unless you only have one name),Family Name (required unless you only have one name),Preferred Social URL,Image URL,URL
,Primary Contact,Ms.,Samantha,Hindle,https://twitter.com/hindlesamantha,https://github.com/OpenScienceRoadmap/OpenScienceRoadmap.github.io/blob/master/assets/img/HindleSamantha.png,https://twitter.com/hindlesamantha
,Primary Contact,Mr.,Daniel,Mietchen,https://twitter.com/EvoMRI,https://github.com/OpenScienceRoadmap/OpenScienceRoadmap.github.io/blob/master/assets/img/MietchenDaniel.png,https://dsi.virginia.edu/people/daniel-mietchen
Hypothesis,Participant,Mr.,Nate,Angell,https://twitter.com/xolotl,http://xolotl.org/wp-content/uploads/2018/05/NateAngell.png,http://xolotl.org/
Hypothesis,Participant,Ms.,Heather,Staines,https://twitter.com/heatherstaines,https://web.hypothes.is/people/heather-staines/heatherstainesbw-1/,https://web.hypothes.is/
Hypothesis,Primary Contact,Mr.,Dan,Whaley,https://twitter.com/dwhly,https://web.hypothes.is/people/dan-whaley/dan-whaley/,https://web.hypothes.is/
Hypothesis,Participant,Ms.,Peg,Fowler,https://www.linkedin.com/in/peg-fowler-7b79323/,https://web.hypothes.is/people/peggy-fowler/img_2128_resized-bw/,https://web.hypothes.is/
OpenML,Primary Contact,Ms.,Heidi,Seibold,https://twitter.com/HeidiBaya,https://user-images.githubusercontent.com/14146757/40061126-7eb22cf8-5858-11e8-885a-092db3e4cb03.jpg,https://twitter.com/HeidiBaya
,Primary Contact,Ms.,Bianca,Kramer,https://twitter.com/MsPhelps,https://user-images.githubusercontent.com/13157018/40078915-6074c402-5886-11e8-8a31-47393bcb5be5.jpg,https://101innovations.wordpress.com/
Open Knowledge Maps,Primary Contact,Mr.,Peter,Kraker,https://twitter.com/PeterKraker,https://github.com/OpenKnowledgeMaps/project-website/blob/master/img/team/peter.png,https://science20.wordpress.com
,Primary Contact,Ms.,Lisa,Hinchliffe,https://twitter.com/lisalibrarian,https://lisahinchliffe.files.wordpress.com/2015/07/img_5854-crop.jpg,http://lisahinchliffe.com/
DuraSpace,Primary Contact,Mr.,Bill,Branan,https://www.linkedin.com/in/brananbill/,https://avatars3.githubusercontent.com/u/519674,
Dryad,Primary Contact,Ms.,Daniella,Lowenberg,https://twitter.com/danilowenberg,https://pbs.twimg.com/profile_images/809469784358170624/2PQv35US_400x400.jpg,
California Digital Library,Primary Contact,Mr.,John,Chodacki,https://twitter.com/chodacki,https://www.force11.org/sites/default/files/styles/member_profile_image__480x480_/public/d7/photos/members/john_chodacki_headshot_0.jpg,
Unpaywall,Primary Contact,Ms.,Heather,Piwowar,https://twitter.com/researchremix,https://profiles.impactstory.org/static/img/heather.jpg,https://profiles.impactstory.org/u/researchremix
Unpaywall,Primary Contact,Mr.,Jason,Priem,https://twitter.com/jasonpriem,https://pbs.twimg.com/profile_images/820790537456226304/Tis8dyhv_400x400.jpg,http://jasonpriem.org/
Open Engineering,Primary Contact,Dr.,Devin,Berg,https://twitter.com/devinberg,https://raw.githubusercontent.com/devinberg/devinberg.com/master/assets/img/Berg_4x6.JPG,https://www.devinberg.com/
